serial	track1_filename	md5
SCUS-94424	Bloody Roar II (USA).bin	fa5b8e192dbfef77fb2fe3416a1b9469
SCUS-94425	Spyro 2 - Ripto's Rage! (USA).bin	9771d273c498e29aa9543c30ec00aa35
SCUS-94426	CTR - Crash Team Racing (USA).bin	ab95bfca8a4bb3d90daa6519acf6e944
SCUS-94448	Um Jammer Lammy (USA).bin	c5b047642aac6bd414dffce52909a940
SCUS-94451	Syphon Filter 2 (USA) (Disc 1).bin	10c32787ad95a64c1232b774943914d0
SCUS-94454	Tomba! 2 - The Evil Swine Return (USA) (Track 1).bin	63e774ac891ca718e19a88b42c72de06
SCUS-94457	Grandia (USA) (Disc 1).bin	b747f0978466588e198067aba8cd81f2
SCUS-94465	Grandia (USA) (Disc 2).bin	bfd84253d3d3e8acac7cc26d6336d3af
SCUS-94467	Spyro - Year of the Dragon (USA) (Rev 1).bin	ef60e3e65dcbaf87ed145eec3c4eced0
SCUS-94484	Wild Arms 2 (USA) (Disc 1).bin	6f087363c1ed530464d4614d0dafc7e3
SCUS-94491	Legend of Dragoon, The (USA, Canada) (Disc 1).bin	acf7717e2192c78d8c5859cfacfc384d
SCUS-94498	Wild Arms 2 (USA) (Disc 2).bin	67fe49cd4a3614b03024bbe9abe34096
SCUS-94584	Legend of Dragoon, The (USA, Canada) (Disc 2).bin	29972b15701425ae7a36b1cef5c818ef
SCUS-94585	Legend of Dragoon, The (USA, Canada) (Disc 3).bin	afdc3f87d20b8a19aec8acc709056091
SCUS-94586	Legend of Dragoon, The (USA, Canada) (Disc 4).bin	5c6a9a0395dcb75bd20cccd6a84d2da0
SCUS-94602	Myst (USA).bin	6c6e4814f273fbfe8153bc3c41f76a84
SCUS-94608	Wild Arms (USA).bin	19f6de83eb8b7525d7bf8eb27566ce30
SCUS-94636	Disney's Atlantis - The Lost Empire (USA, Canada) (Track 1).bin	b1cd0969672d9dfb76fde591f71d3e06
SCUS-94640	Syphon Filter 3 (USA).bin	48624685dc393716302f2477a0b18c4f
SCUS-94643	Peter Pan in Disney's Return to Never Land (USA).bin	2789797bc896afd489aecea106aa6563
SCUS-94646	Disney's Lilo & Stitch (USA).bin	b773ddf42fced7bd88b57f7a6c1ed595
SCUS-94900	Crash Bandicoot (USA).bin	b4aeaf0c0bb2f2000f31d12e7b59f8f9
